code,interval,option_days,sharpe,win_rate,pnl_ratio,max_dd,recov_factor,total_return,margin_per_trade,max_concurrent,total_trades,peak_margin,score
NQ,M15,28,2.28,0.85,1.85,-0.0684,21.39,1.463,38900.0,1,20,38900.0,25.133
COIN,M30,28,2.05,0.8065,1.34,-0.0096,21.53,0.2077,4306.4516,4,31,17225.8065,23.7877
NQ,M30,28,2.39,0.9412,0.9,-0.0576,19.86,1.1438,39529.4118,1,17,39529.4118,23.3938
MCD,M15,21,2.66,0.9016,0.6,-0.0083,19.38,0.1615,1729.5082,7,61,12106.5574,22.2015
NQ,H1,14,2.07,0.8571,2.21,-0.0457,18.86,0.8614,29066.6667,1,15,29066.6667,21.7914
JPM,M15,28,2.45,0.9615,3.62,-0.007,18.6429,0.1305,2451.9231,4,26,9807.6923,21.2234
SOXX,M15,21,2.53,0.8788,1.05,-0.0079,18.23,0.1448,2484.8485,4,33,9939.3939,20.9048
TSM,M30,7,2.95,0.9487,2.26,-0.007,16.1571,0.1131,1589.7436,4,39,6358.9744,19.2202
IWM,M15,14,2.89,0.8478,1.08,-0.0077,15.31,0.1179,1586.9565,4,46,6347.8261,18.3179
NQ,M30,28,2.1,0.9412,0.63,-0.0882,14.24,1.2551,39529.4118,1,17,39529.4118,17.5951
ES,M30,28,2.27,0.8889,1.36,-0.0483,14.55,0.7029,28805.5556,1,18,28805.5556,17.5229
SMH,M30,14,2.36,0.92,2.47,-0.007,14.8714,0.1041,1600.0,4,25,6400.0,17.3355
GS,H1,21,1.28,0.875,2.61,-0.007,14.8143,0.1037,6500.0,2,8,13000.0,16.198
GS,M30,21,1.42,0.8333,26.38,-0.007,14.4286,0.101,6250.0,1,6,6250.0,15.9496
JPM,M30,28,2.23,0.9474,15.92,-0.007,13.5571,0.0949,2447.3684,4,19,9789.4737,15.882
AVGO,M30,28,2.26,0.8696,0.51,-0.007,13.1286,0.0919,3913.0435,7,23,27391.3043,15.4805
AVGO,M5,14,3.03,0.8519,0.67,-0.0293,11.87,0.3475,2925.9259,8,108,23407.4074,15.2475
SPY,H1,7,2.02,0.875,4.62,-0.007,12.8286,0.0898,2856.25,2,16,5712.5,14.9384
SOXX,M30,7,1.94,0.9615,2.28,-0.007,12.6714,0.0887,1634.6154,4,26,6538.4615,14.7001
TSLA,H1,7,2.01,0.9412,39.06,-0.007,11.8,0.0826,1794.1176,6,17,10764.7059,13.8926
ES,M30,28,1.9,0.8333,1.16,-0.0718,11.18,0.8026,28805.5556,1,18,28805.5556,13.8826
