
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
                            参数优化报告: UTurnLongCallMomentum_ES_M5_LONG                            
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
排名    参数组合                             夏普       胜率         盈亏比      最大回撤       收益风险比        总收益率       最大持仓
----------------------------------------------------------------------------------------------------
32      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 1.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.49     20.64%       2.93       -68.54%      -0.85         -58.15%      3
33      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 1.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -0.93     20.43%       3.04       -58.51%      -0.85         -49.65%      3
34      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.5, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.04     22.55%       2.57       -74.65%      -0.85         -63.39%      3
35      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.01     34.10%       1.61       -56.17%      -0.85         -47.72%      3
36      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.5, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -0.51     22.55%       2.59       -94.93%      -0.86         -81.56%      3
37      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.08     34.08%       1.59       -42.07%      -0.87         -36.75%      3
38      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -0.97     33.05%       1.63       -44.02%      -0.88         -38.64%      3
39      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 1, 'min_drop_from_prev_close': 0.0001} -1.37     13.25%       4.20       -66.19%      -0.88         -58.21%      3
40      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 1.0, 'stop_loss_ratio': 0.5, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.40     29.31%       1.84       -85.06%      -0.90         -76.64%      3
41      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 1.0, 'stop_loss_ratio': 0.5, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.58     28.27%       1.81       -75.18%      -0.91         -68.23%      3
42      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.15     14.07%       4.17       -88.47%      -0.91         -80.36%      3
43      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.5, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -0.91     43.98%       1.03       -38.99%      -0.91         -35.67%      3
44      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 1.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.89     18.33%       2.86       -67.71%      -0.93         -63.11%      3
45      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 0.5, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.31     31.54%       1.62       -38.87%      -0.94         -36.69%      3
46      {'option_days': 7, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.58     13.81%       3.98       -70.62%      -0.95         -66.88%      3
47      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 1, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -0.50     12.85%       4.22       -122.56%     -0.96         -118.16%     3
48      {'option_days': 14, 'expiry_weekday': -1, 'entry_delta': 0.5, 'take_profit_ratio': 2.0, 'stop_loss_ratio': 0.3, 'cooldown_hours': 12, 'max_positions': 3, 'require_low_below_prev_day_low': 0, 'min_drop_from_prev_close': 0.0001} -1.65     14.03%       3.88       -87.91%      -0.98         -86.30%      3
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
