entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,long_prem,short_prem,net_debit,long_settle,short_settle,final_pnl
2025-01-29 11:20:00,2025-01-29 11:20:00,direct_entry,2025-02-12 16:00:00,expiry,6080,6230,74.9168,22.3065,52.6103,0.0000,0.0000,-52.6103
2025-02-04 00:25:00,2025-02-04 00:25:00,direct_entry,2025-02-18 16:00:00,expiry,6010,6160,76.6219,23.1365,53.4854,137.2500,0.0000,83.7646
2025-02-21 14:40:00,2025-02-21 14:40:00,direct_entry,2025-03-07 16:00:00,expiry,6030,6180,75.8588,22.4055,53.4533,0.0000,0.0000,-53.4533
2025-02-27 20:00:00,2025-02-27 20:00:00,direct_entry,2025-03-13 16:00:00,expiry,5880,6030,72.8342,20.4217,52.4125,0.0000,0.0000,-52.4125
2025-03-03 15:45:00,2025-03-03 15:45:00,direct_entry,2025-03-17 16:00:00,expiry,5840,5990,73.6208,20.7345,52.8863,0.0000,0.0000,-52.8863
2025-03-10 12:25:00,2025-03-10 12:25:00,direct_entry,2025-03-24 16:00:00,expiry,5650,5800,72.6825,19.7538,52.9286,164.7500,14.7500,97.0714
2025-03-27 19:40:00,2025-03-27 19:40:00,direct_entry,2025-04-10 16:00:00,expiry,5730,5880,73.2674,20.0491,53.2183,0.0000,0.0000,-53.2183
2025-04-02 05:30:00,2025-04-02 05:30:00,direct_entry,2025-04-16 16:00:00,expiry,5660,5800,70.5388,21.2094,49.3294,0.0000,0.0000,-49.3294
2025-04-03 03:20:00,2025-04-03 03:20:00,direct_entry,2025-04-17 16:00:00,expiry,5540,5680,70.8232,20.9476,49.8755,0.0000,0.0000,-49.8755
2025-04-11 09:35:00,2025-04-11 09:35:00,direct_entry,2025-04-25 16:00:00,expiry,5300,5430,65.5473,19.7589,45.7884,247.7500,117.7500,84.2116
2025-04-21 04:00:00,2025-04-21 04:00:00,direct_entry,2025-05-05 16:00:00,expiry,5260,5390,67.0569,20.4209,46.6360,407.7500,277.7500,83.3640
