
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
                            参数优化报告: UTurnBottomLongCall_NQ_M15_LONG                             
★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
排名    参数组合                             夏普       胜率         盈亏比      最大回撤       收益风险比        总收益率       最大持仓
----------------------------------------------------------------------------------------------------
22      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.8, 'stop_loss_ratio': 0.5} 1.82      74.42%       1.74       -13.56%      15.56         210.96%      0
23      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.7, 'stop_loss_ratio': 0.4} 1.64      66.67%       2.20       -11.90%      15.56         185.19%      0
24      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.7, 'stop_loss_ratio': 0.4} 1.64      66.67%       2.20       -11.90%      15.56         185.19%      0
25      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.8, 'stop_loss_ratio': 0.7} 2.01      75.56%       1.52       -11.63%      15.50         180.32%      0
26      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.8, 'stop_loss_ratio': 0.7} 2.01      75.56%       1.52       -11.63%      15.50         180.32%      0
27      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.6, 'stop_loss_ratio': 0.3} 1.58      56.10%       3.22       -10.41%      15.47         160.96%      0
28      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.6, 'stop_loss_ratio': 0.3} 1.58      56.10%       3.22       -10.41%      15.47         160.96%      0
29      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.8, 'stop_loss_ratio': 0.4} 1.77      73.17%       1.83       -13.31%      15.41         205.08%      0
30      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.8, 'stop_loss_ratio': 0.4} 1.77      73.17%       1.83       -13.31%      15.41         205.08%      0
31      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.8, 'stop_loss_ratio': 0.7} 2.02      75.56%       1.51       -11.83%      14.87         175.88%      0
32      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.8, 'stop_loss_ratio': 0.7} 2.02      75.56%       1.51       -11.83%      14.87         175.88%      0
33      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.7, 'stop_loss_ratio': 0.3} 1.64      65.85%       2.26       -11.88%      14.78         175.67%      0
34      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 100, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.7, 'stop_loss_ratio': 0.3} 1.64      65.85%       2.26       -11.88%      14.78         175.67%      0
35      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.007, 'entry_delta': 0.7, 'stop_loss_ratio': 0.5} 1.64      65.12%       2.49       -13.36%      13.96         186.51%      0
36      {'risk_free_rate': 0.04, 'option_days': 7, 'expiry_weekday': 2, 'dif_entry': -20, 'dif_profit': 20, 'k2_takeprofit': 200, 'k2_stoploss': 100, 'k2_timeout_profit': 100, 'k2_timeout_loss': 100, 'early_exit_ratio': 0.8, 'min_drop_from_prev_close': 0.018, 'min_rise_from_prev_close': 0.008, 'entry_delta': 0.7, 'stop_loss_ratio': 0.5} 1.64      65.12%       2.49       -13.36%      13.96         186.51%      0
