long_entry_time,short_entry_time,planned_expiry,actual_settlement_time,is_early_exit,k1,k2,long_entry_price,short_entry_price,net_debit,long_settlement_price,short_settlement_price,payoff,net_pnl
2024-07-24 01:00:00,2024-07-24 11:45:00,2024-08-14 01:00:00,2024-08-14 01:00:00,False,19750,19852.7500,345.4388,140.1553,205.2836,0.0000,0.0000,0.0000,-205.2836
2024-07-19 11:45:00,2024-07-22 10:00:00,2024-08-14 11:45:00,2024-08-14 11:45:00,False,19800,20048.5000,395.5951,316.2992,79.2960,0.0000,0.0000,0.0000,-79.2960
2024-07-24 13:00:00,2024-07-25 10:00:00,2024-08-14 13:00:00,2024-08-14 13:00:00,False,19350,19455.2500,339.8038,122.0987,217.7051,0.0000,0.0000,0.0000,-217.7051
2024-07-29 22:45:00,2024-07-31 09:30:00,2024-08-21 22:45:00,2024-08-19 12:15:00,True,19100,19429.0000,352.9510,292.4909,60.4601,569.5403,267.1875,302.3528,241.8927
2024-08-04 21:45:00,2024-08-05 01:30:00,2024-08-28 21:45:00,2024-08-28 21:45:00,False,18150,18229.5000,328.6737,134.4488,194.2248,1080.0000,1000.5000,79.5000,-114.7248
2024-08-27 09:45:00,2024-08-30 09:45:00,2024-09-18 09:45:00,2024-09-18 09:45:00,False,19550,19693.0000,344.0269,274.8879,69.1390,158.5000,15.5000,143.0000,73.8610
2024-08-22 15:45:00,2024-08-25 18:00:00,2024-09-18 15:45:00,2024-09-18 15:45:00,False,19600,19915.5000,382.6793,320.7703,61.9090,0.0000,0.0000,0.0000,-61.9090
2024-09-06 05:15:00,2024-09-09 05:15:00,2024-10-02 05:15:00,2024-10-02 05:15:00,False,18750,18840.7500,361.1669,241.2620,119.9049,1175.0000,1084.2500,90.7500,-29.1549
2024-09-16 09:45:00,2024-09-17 06:30:00,2024-10-09 09:45:00,2024-10-06 18:00:00,True,19650,19868.0000,366.3618,305.1524,61.2094,612.2800,404.4235,207.8566,146.6472
2024-09-29 18:00:00,2024-10-02 09:30:00,2024-10-23 18:00:00,2024-10-23 18:00:00,False,20250,20327.0000,366.6351,153.6027,213.0324,39.7500,0.0000,39.7500,-173.2824
2024-10-15 13:30:00,2024-10-17 06:30:00,2024-11-06 13:30:00,2024-11-06 13:30:00,False,20400,20613.0000,353.8262,301.9102,51.9160,464.2500,251.2500,213.0000,161.0840
2024-10-28 13:15:00,2024-10-29 14:45:00,2024-11-20 13:15:00,2024-11-20 13:15:00,False,20550,20795.2500,368.8479,319.8971,48.9508,77.5000,0.0000,77.5000,28.5492
2024-10-31 12:00:00,2024-11-03 16:00:00,2024-11-27 12:00:00,2024-11-22 16:45:00,True,20100,20201.2500,392.2442,325.4636,66.7805,792.9213,695.1027,97.8186,31.0381
2024-11-15 12:30:00,2024-11-18 11:45:00,2024-12-11 12:30:00,2024-12-04 03:30:00,True,20500,20762.2500,401.5914,328.9284,72.6630,896.3260,653.0194,243.3066,170.6436
2024-11-25 20:15:00,2024-11-28 20:15:00,2024-12-18 20:15:00,2024-12-11 10:00:00,True,20800,20961.5000,387.7891,305.1151,82.6740,957.9486,804.2777,153.6709,70.9969
2024-12-19 20:15:00,2024-12-22 20:15:00,2025-01-15 20:15:00,2025-01-15 20:15:00,False,21300,21761.0000,418.4001,355.8630,62.5371,111.7500,0.0000,111.7500,49.2129
2024-12-31 12:45:00,2025-01-03 12:45:00,2025-01-22 12:45:00,2025-01-21 12:45:00,True,21300,21571.0000,387.6456,305.6707,81.9749,444.2484,192.0956,252.1528,170.1779
2024-12-27 12:30:00,2024-12-30 12:30:00,2025-01-22 12:30:00,2025-01-22 12:30:00,False,21550,21649.7500,420.6223,339.1983,81.4241,498.2500,398.5000,99.7500,18.3259
2025-01-07 12:45:00,2025-01-10 09:45:00,2025-01-29 12:45:00,2025-01-29 12:45:00,False,21450,21545.0000,380.3247,153.6269,226.6977,34.7500,0.0000,34.7500,-191.9477
2025-01-26 21:15:00,2025-01-27 05:15:00,2025-02-19 21:15:00,2025-02-19 21:15:00,False,21550,21627.2500,391.0746,163.0204,228.0542,626.7500,549.5000,77.2500,-150.8042
2025-02-07 12:30:00,2025-02-10 12:30:00,2025-03-05 12:30:00,2025-03-05 12:30:00,False,21650,21950.2500,426.9937,350.2550,76.7387,0.0000,0.0000,0.0000,-76.7387
2025-02-18 14:15:00,2025-02-21 14:15:00,2025-03-12 14:15:00,2025-03-12 14:15:00,False,22150,22251.2500,396.1383,139.3908,256.7475,0.0000,0.0000,0.0000,-256.7475
2025-02-25 03:00:00,2025-02-27 09:45:00,2025-03-19 03:00:00,2025-03-19 03:00:00,False,21400,21500.0000,382.0830,158.1744,223.9087,0.0000,0.0000,0.0000,-223.9087
2025-03-10 13:15:00,2025-03-12 09:45:00,2025-04-02 13:15:00,2025-03-25 06:30:00,True,19500,19744.5000,360.6658,294.5534,66.1124,898.7589,671.6166,227.1424,161.0299
2025-03-04 08:30:00,2025-03-07 08:30:00,2025-03-26 08:30:00,2025-03-26 08:30:00,False,20350,20438.2500,357.1252,213.8724,143.2528,116.0000,27.7500,88.2500,-55.0028
2025-02-27 12:15:00,2025-02-27 22:00:00,2025-03-26 12:15:00,2025-03-26 12:15:00,False,21050,21154.7500,421.9532,175.9975,245.9557,0.0000,0.0000,0.0000,-245.9557
2025-03-26 14:00:00,2025-03-28 10:00:00,2025-04-16 14:00:00,2025-04-16 14:00:00,False,20100,20221.5000,361.5938,132.3858,229.2080,0.0000,0.0000,0.0000,-229.2080
2025-03-28 13:30:00,2025-03-31 09:30:00,2025-04-23 13:30:00,2025-04-23 13:30:00,False,19450,19556.5000,383.2350,136.8239,246.4111,0.0000,0.0000,0.0000,-246.4111
2025-04-08 19:45:00,2025-04-09 16:15:00,2025-04-30 19:45:00,2025-04-24 14:00:00,True,17000,19400.5000,300.3460,288.5839,11.7622,2288.6125,121.8504,2166.7621,2154.9999
2025-04-21 14:00:00,2025-04-23 07:15:00,2025-05-14 14:00:00,2025-04-24 20:15:00,True,17750,18986.2500,312.4345,282.5114,29.9231,1724.1632,607.2656,1116.8976,1086.9745
2025-04-04 11:00:00,2025-04-04 13:00:00,2025-04-30 11:00:00,2025-04-30 11:00:00,False,18100,18188.2500,347.1542,143.2945,203.8597,1288.2500,1200.0000,88.2500,-115.6097
2025-04-04 13:30:00,2025-04-06 18:00:00,2025-04-30 13:30:00,2025-04-30 13:30:00,False,17800,17881.5000,337.7429,21.4099,316.3330,1700.2500,1618.7500,81.5000,-234.8330
2025-04-03 14:30:00,2025-04-04 06:00:00,2025-04-30 14:30:00,2025-04-30 14:30:00,False,18850,18939.5000,369.9859,157.6043,212.3816,609.7500,520.2500,89.5000,-122.8816
2025-04-30 10:00:00,2025-05-01 06:15:00,2025-05-21 10:00:00,2025-05-11 19:15:00,True,19250,20104.2500,336.7306,292.0657,44.6649,1257.8009,479.7581,778.0428,733.3779
2025-05-05 22:30:00,2025-05-06 21:00:00,2025-05-28 22:30:00,2025-05-13 09:45:00,True,19950,20172.7500,366.2207,309.9480,56.2727,1222.1952,1014.7404,207.4547,151.1820
2025-05-15 05:15:00,2025-05-18 18:00:00,2025-06-11 05:15:00,2025-06-09 03:30:00,True,21250,21417.0000,418.9961,344.7525,74.2437,539.7497,381.7163,158.0333,83.7897
2025-05-19 00:00:00,2025-05-22 00:00:00,2025-06-11 00:00:00,2025-06-09 12:30:00,True,21200,21324.2500,400.6411,283.9094,116.7317,660.3414,536.8220,123.5193,6.7876
2025-05-22 08:30:00,2025-05-25 18:00:00,2025-06-18 08:30:00,2025-06-18 08:30:00,False,21150,21226.0000,408.6856,330.2306,78.4550,841.7500,765.7500,76.0000,-2.4550
2025-06-11 21:45:00,2025-06-15 18:00:00,2025-07-02 21:45:00,2025-06-27 02:30:00,True,21800,21920.0000,372.5594,292.5678,79.9916,959.1197,842.9795,116.1402,36.1485
2025-06-19 10:45:00,2025-06-20 09:45:00,2025-07-16 10:45:00,2025-07-03 09:00:00,True,21750,22118.0000,420.8997,380.7959,40.1038,1206.0427,870.0649,335.9778,295.8740
2025-07-11 06:00:00,2025-07-14 06:00:00,2025-08-06 06:00:00,2025-08-06 06:00:00,False,22900,22990.5000,442.0579,368.9322,73.1257,251.5000,161.0000,90.5000,17.3743
2025-07-15 18:45:00,2025-07-17 13:00:00,2025-08-06 18:45:00,2025-08-06 18:45:00,False,23000,23359.0000,415.4487,348.0449,67.4038,461.0000,102.0000,359.0000,291.5962
2025-08-01 14:15:00,2025-08-04 14:15:00,2025-08-27 14:15:00,2025-08-25 11:00:00,True,22900,23365.7500,442.3232,376.0059,66.3172,692.9923,266.8326,426.1597,359.8425
2025-08-19 22:00:00,2025-08-22 11:45:00,2025-09-10 22:00:00,2025-09-09 16:15:00,True,23400,23669.0000,407.7701,344.6944,63.0757,501.5475,251.5277,250.0198,186.9440
2025-08-29 12:00:00,2025-09-01 12:00:00,2025-09-24 12:00:00,2025-09-17 18:00:00,True,23450,23589.7500,468.7437,380.0824,88.6614,1089.5964,954.8346,134.7617,46.1004
2025-09-02 09:30:00,2025-09-05 09:30:00,2025-09-24 09:30:00,2025-09-17 18:00:00,True,23150,23974.5000,413.4610,345.1194,68.3416,1384.8283,605.5837,779.2446,710.9030
2025-09-17 12:15:00,2025-09-18 05:45:00,2025-10-08 12:15:00,2025-10-05 18:30:00,True,24200,24818.0000,410.8196,373.1799,37.6396,851.9131,291.4238,560.4892,522.8496
2025-09-25 09:15:00,2025-09-28 18:00:00,2025-10-22 09:15:00,2025-10-20 09:30:00,True,24600,24842.2500,477.8032,409.4824,68.3208,597.7832,372.7701,225.0131,156.6923
2025-10-03 14:15:00,2025-10-06 14:15:00,2025-10-29 14:15:00,2025-10-26 22:30:00,True,25050,25335.5000,482.8411,411.8639,70.9772,701.4145,436.6399,264.7746,193.7974
2025-10-07 14:00:00,2025-10-10 14:00:00,2025-10-29 14:00:00,2025-10-29 14:00:00,False,25050,25135.0000,439.3243,219.3863,219.9381,1174.7500,1089.7500,85.0000,-134.9381
2025-10-22 14:15:00,2025-10-26 18:00:00,2025-11-12 14:15:00,2025-11-12 14:15:00,False,24900,25811.5000,442.3474,349.1932,93.1541,680.2500,0.0000,680.2500,587.0959
2025-10-30 09:45:00,2025-11-02 18:00:00,2025-11-26 09:45:00,2025-11-26 09:45:00,False,26100,26225.0000,533.4973,408.6864,124.8109,0.0000,0.0000,0.0000,-124.8109
2025-11-03 22:00:00,2025-11-04 19:30:00,2025-11-26 22:00:00,2025-11-26 22:00:00,False,25950,26071.7500,486.1134,196.9734,289.1399,0.0000,0.0000,0.0000,-289.1399
2025-11-07 08:45:00,2025-11-09 20:30:00,2025-12-03 08:45:00,2025-12-03 08:45:00,False,25100,25478.7500,496.2330,419.9184,76.3146,548.5000,169.7500,378.7500,302.4354
2025-11-20 14:15:00,2025-11-23 18:00:00,2025-12-17 14:15:00,2025-12-04 04:30:00,True,24350,24587.2500,483.8236,406.8960,76.9277,1385.4842,1164.0425,221.4417,144.5140
2025-11-14 08:45:00,2025-11-17 04:00:00,2025-12-10 08:45:00,2025-12-05 09:45:00,True,24700,25415.0000,491.2535,415.4240,75.8295,1107.0320,454.3476,652.6844,576.8549
2025-11-13 12:15:00,2025-11-14 08:30:00,2025-12-10 12:15:00,2025-12-10 12:15:00,False,25250,25333.7500,494.4474,217.9220,276.5254,373.7500,290.0000,83.7500,-192.7754
2025-11-30 23:30:00,2025-12-02 10:15:00,2025-12-24 23:30:00,2025-12-25 18:00:00,False,25250,25673.2500,473.0908,413.1555,59.9353,642.0000,218.7500,423.2500,363.3147
2025-12-10 11:00:00,2025-12-14 18:00:00,2025-12-31 11:00:00,2025-12-31 11:00:00,False,25600,25710.5000,451.4573,256.8709,194.5863,0.0000,0.0000,0.0000,-194.5863
2025-12-15 22:30:00,2025-12-17 06:00:00,2026-01-07 22:30:00,2026-01-06 10:15:00,True,25150,25573.7500,450.3136,401.9009,48.4126,627.5855,241.3272,386.2583,337.8457
2025-12-17 12:45:00,2025-12-19 13:15:00,2026-01-07 12:45:00,2026-01-06 10:15:00,True,25000,25674.2500,447.1827,372.8000,74.3827,775.3070,154.8237,620.4832,546.1005
2025-12-29 04:45:00,2026-01-01 18:00:00,2026-01-21 04:45:00,2026-01-21 04:45:00,False,25750,25862.5000,477.4788,258.8132,218.6655,0.0000,0.0000,0.0000,-218.6655
2026-01-02 13:15:00,2026-01-05 13:15:00,2026-01-28 13:15:00,2026-01-26 21:45:00,True,25350,25705.2500,485.6565,418.5976,67.0589,627.5254,299.2812,328.2442,261.1853
2026-01-14 07:00:00,2026-01-15 09:45:00,2026-02-04 07:00:00,2026-02-04 07:00:00,False,25750,25964.0000,449.1409,388.2119,60.9291,0.0000,0.0000,0.0000,-60.9291
2026-01-19 06:00:00,2026-01-22 05:00:00,2026-02-11 06:00:00,2026-02-11 06:00:00,False,25300,25785.2500,453.0557,387.0037,66.0520,0.0000,0.0000,0.0000,-66.0520
2026-02-04 13:15:00,2026-02-05 16:30:00,2026-02-25 13:15:00,2026-02-25 13:15:00,False,24950,25041.2500,429.9162,183.4995,246.4167,389.2500,298.0000,91.2500,-155.1667
2026-02-01 18:30:00,2026-02-03 01:45:00,2026-02-25 18:30:00,2026-02-25 18:30:00,False,25550,26092.2500,474.9782,422.3195,52.6587,0.0000,0.0000,0.0000,-52.6587
2026-02-05 19:15:00,2026-02-08 19:15:00,2026-03-04 19:15:00,2026-03-04 19:15:00,False,24350,25394.5000,495.1116,423.5244,71.5871,862.2500,0.0000,862.2500,790.6629
2026-02-12 13:00:00,2026-02-15 18:00:00,2026-03-11 13:00:00,2026-03-11 13:00:00,False,24850,24955.2500,497.9334,386.3668,111.5666,145.7500,40.5000,105.2500,-6.3166
