entry_dt,lock_dt,lock_reason,settlement_dt,close_reason,k1,k2,long_prem,short_prem,net_debit,long_settle,short_settle,final_pnl
2024-08-05 02:30:00,2024-08-05 02:30:00,direct_entry,2024-08-19 16:00:00,expiry,17650,18400,244.5601,33.8156,210.7444,2200.2500,1450.2500,539.2556
2024-09-29 18:00:00,2024-09-29 18:00:00,direct_entry,2024-10-14 16:00:00,expiry,20250,21150,282.1973,35.8164,246.3809,362.7500,0.0000,116.3691
2024-09-30 02:30:00,2024-09-30 02:30:00,direct_entry,2024-10-14 16:00:00,expiry,20150,21050,300.9666,38.6147,262.3519,462.7500,0.0000,200.3981
2024-10-31 12:00:00,2024-10-31 12:00:00,direct_entry,2024-11-14 16:00:00,expiry,20100,20950,276.0474,37.4175,238.6299,851.0000,1.0000,611.3701
2024-11-14 21:00:00,2024-11-14 21:00:00,direct_entry,2024-11-28 18:00:00,expiry,20900,21800,290.6179,36.9708,253.6470,0.0000,0.0000,-253.6470
2024-11-15 12:30:00,2024-11-15 12:30:00,direct_entry,2024-12-01 18:00:00,expiry,20500,21400,290.8598,36.5947,254.2651,478.7500,0.0000,224.4849
2024-12-19 20:15:00,2024-12-19 20:15:00,direct_entry,2025-01-02 16:00:00,expiry,21300,22200,291.3338,38.5490,252.7848,0.0000,0.0000,-252.7848
2024-12-19 21:30:00,2024-12-19 21:30:00,direct_entry,2025-01-02 16:00:00,expiry,21250,22150,295.5218,39.1628,256.3590,0.0000,0.0000,-256.3590
2024-12-20 06:00:00,2024-12-20 06:00:00,direct_entry,2025-01-03 16:00:00,expiry,21100,22050,308.8272,37.8836,270.9436,389.7500,0.0000,118.8064
2025-01-07 15:45:00,2025-01-07 15:45:00,direct_entry,2025-01-21 16:00:00,expiry,21350,22300,304.6397,36.7912,267.8485,407.5000,0.0000,139.6515
2025-01-26 21:15:00,2025-01-26 21:15:00,direct_entry,2025-02-10 16:00:00,expiry,21550,22500,299.6985,38.4396,261.2589,276.2500,0.0000,14.9911
2025-01-27 02:30:00,2025-01-27 02:30:00,direct_entry,2025-02-10 16:00:00,expiry,21350,22300,304.8944,38.3010,266.5935,476.2500,0.0000,209.6565
2025-01-27 03:45:00,2025-01-27 03:45:00,direct_entry,2025-02-10 16:00:00,expiry,21250,22200,300.2709,36.8600,263.4110,576.2500,0.0000,312.8390
2025-02-25 03:00:00,2025-02-25 03:00:00,direct_entry,2025-03-11 16:00:00,expiry,21400,22350,306.6917,38.7992,267.8925,0.0000,0.0000,-267.8925
2025-02-25 04:00:00,2025-02-25 04:00:00,direct_entry,2025-03-11 16:00:00,expiry,21350,22300,317.3392,40.8021,276.5370,0.0000,0.0000,-276.5370
2025-02-25 06:00:00,2025-02-25 06:00:00,direct_entry,2025-03-11 16:00:00,expiry,21300,22250,315.4280,39.9824,275.4457,0.0000,0.0000,-275.4457
2025-03-28 04:30:00,2025-03-28 04:30:00,direct_entry,2025-04-11 16:00:00,expiry,19900,20750,280.6228,38.5435,242.0792,0.0000,0.0000,-242.0792
2025-03-28 09:00:00,2025-03-28 09:00:00,direct_entry,2025-04-11 16:00:00,expiry,19950,20800,277.6938,37.5868,240.1069,0.0000,0.0000,-240.1069
2025-03-28 13:30:00,2025-03-28 13:30:00,direct_entry,2025-04-11 16:00:00,expiry,19450,20300,277.7137,35.4066,242.3071,0.0000,0.0000,-242.3071
2025-04-21 14:00:00,2025-04-21 14:00:00,direct_entry,2025-05-05 16:00:00,expiry,17750,18500,238.2200,31.6944,206.5256,2286.7500,1536.7500,543.4744
2025-04-30 10:00:00,2025-04-30 10:00:00,direct_entry,2025-05-14 16:00:00,expiry,19250,20100,274.3913,34.3690,240.0222,2154.2500,1304.2500,609.9778
2025-05-06 05:45:00,2025-05-06 05:45:00,direct_entry,2025-05-20 16:00:00,expiry,19850,20750,292.0419,35.3226,256.7194,1550.7500,650.7500,643.2806
2025-05-06 09:30:00,2025-05-06 09:30:00,direct_entry,2025-05-20 16:00:00,expiry,19850,20700,280.0960,37.7272,242.3687,1550.7500,700.7500,607.6313
2025-05-21 03:00:00,2025-05-21 03:00:00,direct_entry,2025-06-04 16:00:00,expiry,21300,22250,316.6835,40.5949,276.0886,458.5000,0.0000,182.4114
2025-05-21 06:30:00,2025-05-21 06:30:00,direct_entry,2025-06-04 16:00:00,expiry,21300,22200,293.2425,40.5016,252.7409,458.5000,0.0000,205.7591
2025-06-19 10:45:00,2025-06-19 10:45:00,direct_entry,2025-07-03 18:00:00,expiry,21750,22700,295.8436,36.8402,259.0034,1291.5000,341.5000,690.9966
2025-07-15 18:45:00,2025-07-15 18:45:00,direct_entry,2025-07-29 16:00:00,expiry,23000,24000,326.4325,41.3565,285.0760,456.0000,0.0000,170.9240
2025-08-01 14:15:00,2025-08-01 14:15:00,direct_entry,2025-08-15 16:00:00,expiry,22900,23900,317.8580,39.7416,278.1164,909.2500,0.0000,631.1336
2025-08-19 22:00:00,2025-08-19 22:00:00,direct_entry,2025-09-02 16:00:00,expiry,23400,24400,315.7173,40.0136,275.7038,0.0000,0.0000,-275.7038
2025-08-29 12:00:00,2025-08-29 12:00:00,direct_entry,2025-09-12 16:00:00,expiry,23450,24500,342.2069,41.7618,300.4450,661.5000,0.0000,361.0550
2025-09-02 09:30:00,2025-09-02 09:30:00,direct_entry,2025-09-16 16:00:00,expiry,23150,24150,328.6269,43.4805,285.1464,1146.5000,146.5000,714.8536
2025-09-17 12:15:00,2025-09-17 12:15:00,direct_entry,2025-10-01 16:00:00,expiry,24200,25250,331.4041,41.9915,289.4126,795.2500,0.0000,505.8374
2025-09-25 09:15:00,2025-09-25 09:15:00,direct_entry,2025-10-09 16:00:00,expiry,24600,25650,337.1235,44.9339,292.1896,685.0000,0.0000,392.8104
2025-10-30 16:00:00,2025-10-30 16:00:00,direct_entry,2025-11-13 16:00:00,expiry,26000,27150,363.5222,43.9424,319.5798,0.0000,0.0000,-319.5798
2025-11-04 15:00:00,2025-11-04 15:00:00,direct_entry,2025-11-18 16:00:00,expiry,25600,26750,372.3705,44.5473,327.8232,0.0000,0.0000,-327.8232
2025-11-14 00:15:00,2025-11-14 00:15:00,direct_entry,2025-11-30 18:00:00,expiry,25050,26200,365.3737,43.1782,322.1955,451.7500,0.0000,129.5545
2025-11-14 03:45:00,2025-11-14 03:45:00,direct_entry,2025-11-30 18:00:00,expiry,25000,26100,349.7900,44.4493,305.3406,501.7500,0.0000,196.4094
2025-11-21 05:30:00,2025-11-21 05:30:00,direct_entry,2025-12-05 16:00:00,expiry,24050,25100,333.2124,42.6992,290.5132,1683.5000,633.5000,759.4868
2025-12-31 02:15:00,2025-12-31 02:15:00,direct_entry,2026-01-14 16:00:00,expiry,25600,26750,367.0369,45.1333,321.9035,34.7500,0.0000,-287.1535
2025-12-31 04:00:00,2025-12-31 04:00:00,direct_entry,2026-01-14 16:00:00,expiry,25600,26700,353.7213,47.3015,306.4198,34.7500,0.0000,-271.6698
2026-01-14 11:15:00,2026-01-14 11:15:00,direct_entry,2026-01-28 16:00:00,expiry,25600,26700,351.2250,45.8088,305.4163,597.0000,0.0000,291.5837
2026-02-01 18:30:00,2026-02-01 18:30:00,direct_entry,2026-02-16 18:00:00,expiry,25550,26700,367.9650,46.1568,321.8082,0.0000,0.0000,-321.8082
2026-02-01 23:15:00,2026-02-01 23:15:00,direct_entry,2026-02-16 18:00:00,expiry,25300,26450,370.1804,45.1457,325.0347,0.0000,0.0000,-325.0347
2026-02-04 13:15:00,2026-02-04 13:15:00,direct_entry,2026-02-18 16:00:00,expiry,24950,26050,347.4104,42.5831,304.8273,0.0000,0.0000,-304.8273
2026-02-17 08:15:00,2026-02-17 08:15:00,direct_entry,2026-03-03 16:00:00,expiry,24600,25700,352.3751,43.0726,309.3025,137.5000,0.0000,-171.8025
2026-03-08 21:30:00,2026-03-08 21:30:00,direct_entry,2026-03-23 16:00:00,expiry,24050,25150,353.8705,42.8349,311.0357,362.5000,0.0000,51.4643
2026-03-18 18:30:00,2026-03-18 18:30:00,direct_entry,2026-03-27 16:45:00,force_close,24600,25650,333.8011,43.0441,290.7570,0.0000,0.0000,-290.7570
2026-03-19 04:00:00,2026-03-19 04:00:00,direct_entry,2026-03-27 16:45:00,force_close,24600,25650,340.9608,46.4509,294.5098,0.0000,0.0000,-294.5098
2026-03-25 19:45:00,2026-03-25 19:45:00,direct_entry,2026-03-27 16:45:00,force_close,24300,25400,351.9363,40.5170,311.4193,0.0000,0.0000,-311.4193
